job_title,job_Desc
AI Engineer,"About the job
ROCKET9 🌌 is at the forefront of technological innovation, specializing in leveraging AI 🧠 to solve complex problems. We are a team of dynamic, creative, and forward-thinking individuals committed to making a significant impact in the AI space.

Job Description:
We are on the lookout for a talented AI Engineer 🤖 to join our growing team. This role involves developing and implementing AI models to drive innovation and enhance our products and services.

Key Responsibilities:
Design, develop, and deploy AI models and algorithms 🔍.
Collaborate with cross-functional teams to integrate AI solutions into our products 🤝.
Stay up-to-date with emerging AI trends and technologies 🌐.
Analyze and interpret complex datasets for improved model accuracy 📊.
Contribute to the entire lifecycle of AI projects, from concept to deployment and maintenance 🔁.
Provide technical leadership and mentorship to junior team members 📚.

Qualifications:
Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field 🎓.
3+ years of experience in AI or machine learning roles 💼.
Proficient in programming languages such as Python, R, or Java 💻.
Experience with machine learning frameworks (e.g., TensorFlow, PyTorch) 🧩.
Strong understanding of algorithms and data structures 🧮.
Excellent problem-solving and analytical skills 🕵️‍♂️.
Effective communication and teamwork abilities 👥.

Benefits:
Competitive salary and benefits package 💲.
Dynamic and inclusive work environment 🌟.
Opportunities for professional growth and development 📈.
Access to cutting-edge technology and resources 🛠️."
Machine Learning Engineer,"About the job
Company Description
Innovacio Technologies is a technology company that specializes in providing customized digital solutions to clients and customers. We offer a wide range of services from Web and Mobile Applications to Game Development, Artificial Intelligence, Machine Learning, Desktop, Enterprise software, ERP, CRM, Chatbots, IOT, Embedded systems, firmware development, and PCB designing. Our solutions are designed to enhance enterprise revenue by increasing efficiency and streamlining business processes.
Role Description
This is a full-time remote role for a Machine Learning Engineer. The Engineer will be responsible for developing and implementing machine learning algorithms and models, testing and evaluating these models, and making recommendations based on data analysis. Other responsibilities includes writing code, designing and running experiments, collaborating with cross functional teams and applying best practices in software engineering and machine learning.
Qualifications
Computer Science and Algorithm development skills
Expertise in Pattern Recognition and Neural Networks
Strong knowledge of statistics and experience working with large datasets
The following additional skills would be beneficial: 
Experience with Natural Language Processing (NLP)
Knowledge of cloud computing and distributed computing
Ability to learn and apply new skills quickly
Bachelor's or Master's degree in Computer Science, Mathematics, or related field"
Artificial Intelligence Engineer,"About the job
A.I. specialist
2PI AI Tech is growing!
We have a team of passionate A.I specialists and platform engineers and want to extend our product line. Are you an expert in the field of Machine Learning, A.I and a skilled programmer. Would you like to apply your expertise in solving NP-hard problems? Then, we are looking forward to meeting you!
As an expert in Artificial Intelligence, you will implement A.I models and algorithms. You will work with a small team on one to two areas of the platform.
Innovation and knowledge-sharing are our core values.
The role
You will devise innovative artificial intelligence solutions to improve our A.I products
You will experiment with multiple learning algorithms to apply the best solution
You will develop and extend the platform
You will work with large data sets
You will provide data visualization for the platform
Your profile
You are a specialist in Machine Learning algorithms and A.I
You are an expert in Python.
You are passionate about Artificial Intelligence
You are a team player
You have good communication skills
You are self-motivated and driven
About 2PIAI Tech
2PIAI Tech is a technology company that specializes in cutting-edge artificial intelligence. We use AI to solve complex real-world problems. Our team is passionate about using AI to build solutions that make life easier.
 Why 2PIAI?
2PIAI has an open working environment. Everyone is open to initiatives. You can be proactive in these and have every freedom to allow your work to be part of our success. We don’t believe in micro-management but give our people the freedom to function optimally. Hard work naturally also plays a part – but with enjoyment!
What we offer
A market-competitive salary, depending on your experience so far
Training/learning opportunities
An opportunity to be part of a fast-growing organization
An opportunity to work on innovative solutions and products!
Get in touch!
If you are interested in one of our job openings, please get in touch and send your resume to: career@2pi.ai
We will reach out to you as soon as possible. Do you have any other questions, please contact
Kunal Prasad:  +91 612-3504090
 "
AI Developer,"About the job
Company Description
Vitwit is a core technology company that assists businesses in developing, automating, and scaling with cloud, decentralized, and web3 solutions. Its blockchain service lineup includes smart contract development & Auditing, Apps Development, Cryptocurrency Wallet Development, Escrow & Multisig development, Private Blockchain Development and Block explorer.

Role Description
This is a full-time on-site role for an AI Developer located in Hyderabad. The AI Developer will be responsible for developing and implementing machine learning algorithms and models, as well as researching and experimenting with new technologies. They will also work closely with cross-functional teams to identify business opportunities and provide customized solutions to clients.


Responsibilities
Collaborate with cross-functional teams to define project requirements and provide AI expertise throughout the development life cycle.
Stay abreast of emerging trends and advancements in AI, bringing fresh insights to enhance our solutions.
Architect, build, and deploy scalable AI systems that seamlessly integrate with existing software infrastructure.
Conduct research to identify opportunities for the application of AI technologies to optimize business processes.
Fine-tune and optimize existing AI models for performance improvements and accuracy.
Work closely with data engineers to ensure the availability and quality of data for training and validation.
Develop and implement machine learning models, algorithms, and statistical models to address complex business challenges.
Demonstrate expertise in using Python for AI development.
Develop and implement machine learning models and algorithms to solve complex business problems.
Proven track record in developing and deploying machine learning models.
Strong analytical and problem-solving skills, with the ability to work independently on complex projects.

Qualifications
Bachelor’s or master’s degree in Computer Science, Statistics, or related field.
2 or 3 years of experience in applying AI to practical and comprehensive technology solutions.
Strong knowledge of programming languages such as Python, Java, and C++
Knowledge of machine learning frameworks such as TensorFlow, Keras, and PyTorch
Experience with data visualization and data manipulation techniques such as Pandas, NumPy, and Matplotlib
Experience with deep learning techniques, neural networks, and natural language processing (NLP)
Experience with version control tools such as Git, Github, and Bitbucket
Experience with cloud platforms such as AWS, GCP, and Azure
Good communication skills and ability to work collaboratively in a team-oriented environment
Problem-solving skills and proficiency in troubleshooting issues in a timely manner
Experience with Agile development methodologies and test-driven development is a plus.

Positions : 2"
AI/ ML Engineer,"About the job
About us:

We are experts who help businesses turn compliance into a competitive advantage by leveraging data and AI. Derisk 360 help businesses by equipping them to understand risks and process, and better prepare by taking tactical and strategic actions.

Our Mission:

Derisk 360's mission is to turn enterprise risks into a competitive advantage by applying automation and AI to enterprise data sets.

We’ll look to you to drive value for the customer through modeling, sourcing, and data transformation. You’ll be working closely with core technology and architecture teams to deliver strategic data solutions while driving Agile and DevOps adoption in the delivery of data engineering.

Job Summary:

As an AI/ML Engineer at DeRisk360, you will be instrumental in developing advanced artificial intelligence and machine learning models to solve challenging problems and drive innovation. Your role will involve a deep understanding of AI/ML algorithms, data engineering, and software development to create impactful solutions.

Key Responsibilities:

Model Development: Design, develop, and deploy machine learning models, including deep learning, and supervised, and unsupervised learning algorithms.
Data Engineering: Preprocess, clean, and structure large datasets to optimize model performance.
Algorithm Optimization: Continuously evaluate and improve the performance of existing AI/ML models.
Cross-functional Collaboration: Work with cross-functional teams including data scientists, engineers, and product managers to integrate AI/ML solutions into products and services.
Research and Innovation: Stay abreast of the latest AI/ML trends and technologies, and apply this knowledge to create innovative solutions.
Technical Leadership: Guide and mentor junior engineers and team members on AI/ML best practices.
Project Management: Lead AI/ML projects, ensuring they are delivered on time and meet quality standards.

Required Skills and Qualifications:

Minimum of 5 years’ experience in AI/ML engineering.
Proficient in machine learning frameworks (e.g., TensorFlow, PyTorch).
Strong programming skills in Python, R, or similar languages.
Experience with data processing and data analytics tools.
Knowledge of cloud platforms (AWS, Azure, GCP) and their AI/ML services.
Understanding of data structures, data modeling, and software architecture.
Strong problem-solving and analytical skills.
Excellent communication and teamwork abilities.
Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or a related field.

Preferred Skills:

Experience with natural language processing (NLP) or computer vision.
Published research in AI/ML fields.
Experience in deploying AI/ML solutions in a production environment.
Familiarity with containerization and orchestration technologies (e.g., Docker, Kubernetes).

Benefits:
Competitive salary
Annual bonus
Extensive training & and development opportunities
Remote Working"
Machine Learning Engineer,"About the job
Job Description
Location: Ahmedabad Only
Experience:- 2-3 Years
 Role:- Python developer(Model training)
Responsibilities:-
·        Build and train machine learning models using popular libraries such as TensorFlow, PyTorch, or scikit-learn within the Django framework
·        Optimizing the current python model.
·        Training music models to analyse mood of users and enhancing it from time to time.
·        Giving response so the frontend developers can integrate it.
·        Experience with the Django web framework
·        Experience with machine learning libraries such as TensorFlow, PyTorch, or scikit-learn
·        Knowledge of data structures, algorithms, and software engineering best practices
·        Experience working in an Agile development environment
·        Knowledge of MySQL Database.
·        Knowledge of Wearables (Smart Watches) and able to analyse data using that to train model.
·        Debug and troubleshoot production issues as needed.
Role:-
·        To train model which can analyze the mood of user based on the type of song he is listening.
·        To train model which can analyze mood of music listener based on the heart rate and other data.
·        Cross matching users profile based on variable like genres of music, artist, playlist that they have in common. 
 Preferred qualifications: (Preferable but not mandatory)
·        Experience with distributed computing frameworks such as Apache Spark or Hadoop
·        Knowledge of cloud computing platforms such as AWS or Azure
·        Familiarity with data visualization tools such as Tableau or PowerBI
·        Contributions to open source projects or machine learning competitions"
Machine Learning Engineer,"About the job
Company Description
Skylark Labs is a leading developer of Dual-Use Self-Learning AI products that provides analytics to strengthen National Security and support commercial applications. At Skylark Labs, our mission is to lead the way in AI-based unknown threat detection and prevention. As the threat landscape changes, our technology will excel and be at the forefront of identifying these unknown threats, helping to create a safer world for everyone. The company is composed of 70+ individuals headquartered in the US, with offices in India and Australia. 

Role Description
This is a full-time on-site role for a Machine Learning Engineer located in Pune. The Machine Learning Engineer will be responsible for developing and improving Pattern Recognition, Computer Science, Neural Networks, Statistics and Algorithms, and will work closely with the research, engineering, and product teams to ensure successful delivery of the company's AI products.

Qualifications
Proven track record in developing machine learning models and applications with minimum 3 years of experience
Strong background in Computer Science, Mathematics, and Statistics
Expertise in Neural Networks, Pattern Recognition and Algorithms
Experience in programming in Tensorflow, PyTorch, ONNX
Excellent problem-solving skills and ability to work independently and in a team environment
Good communication and presentation skills
Master's or Bachelor's degree in Computer Science, Engineering, Mathematics, or related field"
AI/ML Engineer,"About the job
AI/ML Engineer 

ClearML is a unified, open source platform for continuous machine learning (ML), trusted by forward-thinking Data Scientists, ML Engineers, DevOps, and decision makers at leading Fortune 500, enterprises, academia, and innovative start-ups worldwide. We enable customers to build continuous ML workflows -- from experiment management and orchestration through data management and scheduling, followed by provisioning and serving -- to achieve the fastest time to ML production, fastest time to value, and increased performance.

We help data science, ML engineering, and DevOps teams easily develop, orchestrate, and automate ML workflows at scale. Our frictionless, unified, end-to-end MLOps suite enables users and customers to focus on developing their ML code and automation, ensuring their work is reproducible and scalable. ClearML is trusted by brands such as NVIDIA, Philips, Samsung, Hyundai and Bosch. 

As a member of the machine Learning team at ClearML, you will have the opportunity to contribute to our mission of transforming the ML space -- bridging software, machine learning, and automation . Our team is focused on improving the customer experience of our MLOPs platform and tools through data-driven insights, research, and development.

By joining ClearML, you will have the chance to be a part of a dynamic team that is dedicated to advancing the field of machine learning and helping ML engineers train high-performing, fair, and reproducible models.

Overview:
We are an open source end-to-end MLOPs platform, built by developers for developers.

We're looking for a Machine Learning engineer to join our growing team. In this role, you will collaborate across our development and product teams and will have a chance to collaborate with our MLOPs experts working in the exciting areas of machine learning, deep learning, NLP, computer vision and DevOps. 

The ideal candidate will be an ML Engineer who wants to learn how to analyze large amounts of raw information to find patterns and use them to optimize model performance. You will work with our team to learn to build ML/DL data pipelines to extract valuable business insights, analyze trends, and help us make better decisions.

We expect you to be highly analytical with a knack for analysis, math, and statistics, and a passion for machine learning and research. Critical thinking and problem-solving skills are also required.

Responsibilities:
Build scalable infrastructure for training, evaluating, and serving models
Research and analyze valuable data sources and automate processes
Perform preprocessing of structured and unstructured data
Review large amounts of information to discover trends and patterns
Create predictive models and machine-learning algorithms
Organize and present information using data visualization techniques
Develop and suggest solutions and strategies to business challenges
Work together with engineering and product development teams to build and test ML/DL solutions stretching the entire spectrum of ML operationalization from data processing, model training, hyperparameter tuning, deployment, and model management.

Requirements:
 2+ years of machine learning experience to include building production-grade machine learning models in industry /research settings
Strong programming skills in Python and deep-learning 
Experience building end-to-end scalable ML infrastructure with on-premise / cloud platforms.
Familiar with Kubernetes and/or similar container system
Strong math and analytical skills, with business acumen
Strong communication and presentation skills
Good problem-solving abilities
BSc or BA degree in Computer Science, Engineering or other relevant area; graduate degree in Data Science or other quantitative field is preferred"
Machine Learning Engineer,"About the job
Qualifications
Familiarity with Supervised Machine Learning Algorithms and Dataframes
Preferably B.Tech/B.E. graduate 
CS/IT background 
Fresher with internship experience 
1 year experience 
Exceptional skills in statistics and programming, as well as a deep understanding of data science and software engineering principles. 
Strong Python skills, knowledge of NLP, knowledge of Databases (SQL/NoSQL)
Basic understanding of modern APIs (REST, JSON, etc.), AWS/GCP or any other cloud services and data / ETL Pipeline Microservices.

Responsibilities
Play a crucial role in the development and implementation of cutting-edge AI products
Study and transform data science prototypes and apply appropriate machine learning algorithms and tools 
Run machine learning tests and experiments, and document findings and results 
Designing and constructing sophisticated machine learning models, as well as refining and updating existing systems
Construct optimised data pipelines to feed machine learning models
Consult with managers to determine and refine machine learning objectives"
Machine Learning Engineer,"About the job
Company Description
InsightAI is an Artificial Intelligence and Data Analytics company, based in New Delhi. We specialize in using advanced technology to transform data into actionable insights. Our platform allows organizations to explore, analyze, and visualize their data, empowering strategic decision-making. We cater to businesses of all sizes, facilitate seamless integration with existing workflows and provide expert support. Join our journey to unlock the true potential of data and achieve unprecedented levels of success with InsightAI.

Responsibilities:
Design, develop, and deploy machine learning and deep learning systems.
Run machine learning tests and experiments to validate model performance.
Implement appropriate machine learning algorithms to address business needs and
challenges.
Perform statistical analysis of model outputs and fine-tune models based on test
results.
Train, retrain, and optimise machine learning models to ensure accuracy and
robustness.
Collaborate with cross-functional teams to integrate machine learning algorithms into
broader software systems.
Extend and contribute to existing machine learning libraries and frameworks,
ensuring our tooling remains up-to-date and state-of-the-art.
Stay updated on emerging trends and technologies in the machine learning field and
propose innovative solutions.

Requirements and Skills:
Proven experience as a Machine Learning Engineer or a similar role with a minimum
of 3+ years in machine learning and natural language processing.
Strong understanding of the entire process of deploying machine learning algorithms
in a production environment.
Solid understanding of data structures, data modelling, and software architecture.
Profound knowledge in areas such as maths, probability, statistics, and algorithms.
Proficiency in writing robust and efficient code in Python.
Familiarity with popular machine learning frameworks like Keras, PyTorch and libraries
like scikit-learn.
Familiarity with Large Language Models and fine tuning process.
Outstanding analytical and problem-solving capabilities.
Btech in Computer Science, Mathematics or a related field; a Master’s degree will be considered an asset."
